,retweets,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity,Time,Year,Month,Date,text_without_stopwords,corpus,hashtags
37,0,"Greg Byrne, NL_Expatriate",0,tmischuk CanadaInPeril Lumberist No they are like rats fleeing a sinking ship on their VTVL rockets and space arcsMilankovitch cycles cause climate change Global Warming Global Tsunamis at the vernal equinoxesEarth is a closed loop that self regulates co2 with life,ExpatriateNl,Earth,False,1331,3829,-0.0333333333333333,0.0333333333333333,19:56:04,2020,11,26,tmischuk CanadaInPeril Lumberist No like rats fleeing sinking ship VTVL rockets space arcsMilankovitch cycles cause climate change Global Warming Global Tsunamis vernal equinoxesEarth closed loop self regulates co2 life ,tmischuk canadainperil lumberist like rat fleeing sinking ship vtvl rocket space arcsmilankovitch cycle cause climate change global warming global tsunami vernal equinoxesearth closed loop self regulates co life,"['global', 'tmischuk', 'canadainperil', 'lumberist', 'rat', 'fleeing', 'sinking', 'ship', 'vtvl', 'rocket']"
38,0,"Greg Byrne, NL_Expatriate",0,maparker21 Lumberist burnThe Milankovitch cycles cause Climate Change Global Warming Global Tsunamis at the vernal equinoxesCovid1984 is baby Boomer Bust from Seasonal FLU and old age,ExpatriateNl,Earth,False,1331,3829,0.0333333333333333,0.0666666666666666,19:49:44,2020,11,26,maparker21 Lumberist burnThe Milankovitch cycles cause Climate Change Global Warming Global Tsunamis vernal equinoxesCovid1984 baby Boomer Bust Seasonal FLU old age ,maparker lumberist burnthe milankovitch cycle cause climate change global warming global tsunami vernal equinoxescovid baby boomer bust seasonal flu old age,"['global', 'maparker', 'lumberist', 'burnthe', 'milankovitch', 'cycle', 'cause', 'climate', 'change', 'warming']"
39,0,Edaqa 😊 Mortoray,1,I sure wish global warming would get the level of concern that coronavirus has In the next decades changes in climate are still going to kill displace and harm more people than the virus ever willpriorities politics coronavirus climate,edaqa,"Munich, Bavaria",False,7058,183,0.25,0.3472222222222222,15:07:18,2020,11,26,I sure wish global warming would get level concern coronavirus In next decades changes climate still going kill displace harm people virus ever willpriorities politics coronavirus climate ,sure wish global warming would get level concern coronavirus next decade change climate still going kill displace harm people virus ever willpriorities politics coronavirus climate,"['coronavirus', 'climate', 'sure', 'wish', 'global', 'warming', 'level', 'concern', 'next', 'decade']"
42,0,N͜͡a͜͡n͜͡a͜͡,0,JohnKerry who ran in The presidential primary will be named Special Presidential Envoy for Climate Congratulations Mr Kerry has been actively advocating on climate change amp global warming Climate ClimateAction DemVoice1,NanaWearsAMask,"Puerto Rico, USA",False,2620,2656,0.1559523809523809,0.4178571428571428,01:37:20,2020,11,24,JohnKerry ran The presidential primary named Special Presidential Envoy Climate Congratulations Mr Kerry actively advocating climate change amp global warming Climate ClimateAction DemVoice1 ,johnkerry ran presidential primary named special presidential envoy climate congratulation mr kerry actively advocating climate change amp global warming climate climateaction demvoice,"['climate', 'presidential', 'johnkerry', 'ran', 'primary', 'named', 'special', 'envoy', 'congratulation', 'mr']"
43,0,"Tom Gillispie, WRITER/EDITOR",0,climate change Links to FIXING CLIMATE CHANGE climatechange CO2 global warming environment,SptsGuy1,"Rural Hall, NC",False,2281,2155,0.0,0.0,17:41:19,2020,11,21,climate change Links FIXING CLIMATE CHANGE climatechange CO2 global warming environment ,climate change link fixing climate change climatechange co global warming environment,"['climate', 'change', 'link', 'fixing', 'climatechange', 'co', 'global', 'warming', 'environment']"
44,0,Moo Dog Press,0,Some years ago she also began seeing something else the impact global warming and climate change were having on the desert surrounding her homeSo Millet did what authors do She wrote about it climate,MooDogPress,"East Coast, USA",False,2329,2203,0.0,0.0,15:00:14,2020,11,21,Some years ago also began seeing something else impact global warming climate change desert surrounding homeSo Millet authors She wrote climate ,year ago also began seeing something else impact global warming climate change desert surrounding homeso millet author wrote climate,"['climate', 'year', 'ago', 'began', 'seeing', 'something', 'impact', 'global', 'warming', 'change']"
45,0,C Brunel-Ligneau,0,Global warming and climate change are often used interchangeably but the two terms have distinct meanings check out this interesting resource for NASA definition climate,ChristineLigne3,"Monheim am Rhein, Deutschland",False,1264,803,0.2666666666666666,0.2666666666666666,18:12:10,2020,11,20,Global warming climate change often used interchangeably two terms distinct meanings check interesting resource NASA definition climate ,global warming climate change often used interchangeably two term distinct meaning check interesting resource nasa definition climate,"['climate', 'global', 'warming', 'change', 'often', 'used', 'interchangeably', 'two', 'term', 'distinct']"
46,2,KY Green Party🌻,2,GreenParty climatePart IIPLASTICSImpacts on climate changePlastic which is a petroleum product also contributes to global warming If plastic waste is incinerated it releases carbon dioxide into the atmosphere thereby increasing carbon emissions,KYGreenParty,Kentucky,True,1608,1231,-0.1,0.0,13:04:37,2020,11,18,GreenParty climatePart IIPLASTICSImpacts climate changePlastic petroleum product also contributes global warming If plastic waste incinerated releases carbon dioxide atmosphere thereby increasing carbon emissions ,greenparty climatepart iiplasticsimpacts climate changeplastic petroleum product also contributes global warming plastic waste incinerated release carbon dioxide atmosphere thereby increasing carbon emission,"['carbon', 'greenparty', 'climatepart', 'iiplasticsimpacts', 'climate', 'changeplastic', 'petroleum', 'product', 'contributes', 'global']"
48,1,naagriknews,0,Climate Change poses a much larger threat than coronavirus warned Red Cross recently calling out nations to act with urgency on the issue of global warmingclimate ClimateEmergency WHO GlobalWarming UNFCCC Covid19 coronavirus Japan JoeBiden,naagriknews,Delhi,False,40,33,0.0,0.15,05:58:48,2020,11,18,Climate Change poses much larger threat coronavirus warned Red Cross recently calling nations act urgency issue global warmingclimate ClimateEmergency WHO GlobalWarming UNFCCC Covid19 coronavirus Japan JoeBiden ,climate change pose much larger threat coronavirus warned red cross recently calling nation act urgency issue global warmingclimate climateemergency globalwarming unfccc covid coronavirus japan joebiden,"['coronavirus', 'climate', 'change', 'pose', 'much', 'larger', 'threat', 'warned', 'red', 'cross']"
50,0,Howell W. Woltz,0,Climate change global warming global cooling,WoltzHowell,"Warsaw, Poland",False,1456,420,0.0,0.0,07:39:53,2020,11,17,Climate change global warming global cooling ,climate change global warming global cooling,"['global', 'climate', 'change', 'warming', 'cooling']"
52,0,"Greg Byrne, NL_Expatriate",0,MrBeastYT Milankovitch cycles cause climate changeObliquity causes global warmingPrecession causes Global tsunamisEccentricity is the triggerCovid is a lie built on the Baby BOOMER Bust due to Seasonal FLU amp old ageThese are inconvenient truthsWwG1WgA Humanity,ExpatriateNl,Earth,False,1331,3829,-0.125,0.315,06:40:19,2020,11,15,MrBeastYT Milankovitch cycles cause climate changeObliquity causes global warmingPrecession causes Global tsunamisEccentricity triggerCovid lie built Baby BOOMER Bust due Seasonal FLU amp old ageThese inconvenient truthsWwG1WgA Humanity ,mrbeastyt milankovitch cycle cause climate changeobliquity cause global warmingprecession cause global tsunamiseccentricity triggercovid lie built baby boomer bust due seasonal flu amp old agethese inconvenient truthswwg wga humanity,"['cause', 'global', 'mrbeastyt', 'milankovitch', 'cycle', 'climate', 'changeobliquity', 'warmingprecession', 'tsunamiseccentricity', 'triggercovid']"
53,0,"Greg Byrne, NL_Expatriate",0,Covid amp co2 are LIES built on inconvenient truthsMilankovitch cycles cause climate changeObliquity causes global warmingPrecession causes global tsunamis at the equinoxsEccentricity is the triggerCovid is the Baby BOOMER Bust due to Seasonal FLU amp old age,ExpatriateNl,Earth,False,1331,3829,-0.125,0.315,06:27:04,2020,11,15,Covid amp co2 LIES built inconvenient truthsMilankovitch cycles cause climate changeObliquity causes global warmingPrecession causes global tsunamis equinoxsEccentricity triggerCovid Baby BOOMER Bust due Seasonal FLU amp old age ,covid amp co lie built inconvenient truthsmilankovitch cycle cause climate changeobliquity cause global warmingprecession cause global tsunami equinoxseccentricity triggercovid baby boomer bust due seasonal flu amp old age,"['cause', 'amp', 'global', 'covid', 'co', 'lie', 'built', 'inconvenient', 'truthsmilankovitch', 'cycle']"
54,0,"Greg Byrne, NL_Expatriate",0,Milankovitch Cycles cause climate change Obliquity causes Global WarmingPrecession causes Global Tsunamis equinoxes Eccentricity is the triggerBuildThatWall BuildThatRRCovid is Seasonal FLU Baby Boomer Bust,ExpatriateNl,Earth,False,1331,3829,0.0,0.0,02:19:12,2020,11,14,Milankovitch Cycles cause climate change Obliquity causes Global WarmingPrecession causes Global Tsunamis equinoxes Eccentricity triggerBuildThatWall BuildThatRRCovid Seasonal FLU Baby Boomer Bust ,milankovitch cycle cause climate change obliquity cause global warmingprecession cause global tsunami equinox eccentricity triggerbuildthatwall buildthatrrcovid seasonal flu baby boomer bust,"['cause', 'global', 'milankovitch', 'cycle', 'climate', 'change', 'obliquity', 'warmingprecession', 'tsunami', 'equinox']"
